full_name,a,e,i,H,diameter,albedo,class,first_obs
241651 (2000 GT152),2.251,0.1382,3.51,17.5,2.087,0.064,MBA,1993-02-23
416522 (2003 YX134),3.177,0.2562,16.86,15.7,4.571,0.064,MBA,2003-11-20
 56121 (1999 CB20),2.561,0.0769,11.68,14.94,6.039,0.04,MBA,1999-01-19
282590 (2005 EU217),3.076,0.064,4.52,16.16,4.319,0.034,MBA,2005-03-09
210862 (2001 RF53),2.751,0.1203,4.11,15.98,2.142,0.153,MBA,1997-11-01
461158 (2015 TE117),3.201,0.0604,15.97,15.94,4.852,0.082,OMB,2006-04-02
 17508 Takumadan (1992 JH),2.36,0.2237,3.3,14.95,6.877,0.047,MBA,1952-05-24
261812 (2006 BP278),3.085,0.1046,8.91,15.97,3.62,0.065,MBA,2003-09-18
  6721 Minamiawaji (1990 VY6),2.929,0.2135,17.0,12.89,14.929,0.087,MBA,1980-10-13
234355 (2001 HX57),2.758,0.1615,13.19,15.65,2.241,0.321,MBA,2001-03-21
 52221 (5103 T-3),2.566,0.1028,15.18,15.21,5.396,0.08,MBA,1977-10-11
155412 (1996 FO10),2.333,0.1049,3.1,17.04,1.893,0.086,MBA,1996-03-20
 10486 Teron (1985 CS2),2.292,0.093,3.99,14.47,3.065,0.472,MBA,1978-03-05
426384 (2013 PH19),2.66,0.2726,6.33,17.12,2.489,0.136,MBA,2000-08-02
 31755 (1999 JA96),2.94,0.0698,12.95,13.92,9.075,0.078,MBA,1997-12-06
122859 (2000 SP132),2.62,0.2694,11.39,15.47,4.633,0.075,MBA,1996-12-06
  5661 Hildebrand (1977 PO1),3.958,0.2347,13.32,11.12,34.37,0.1364,OMB,1977-08-14
 11182 (1998 GM6),2.711,0.0032,12.34,13.38,12.172,0.059,MBA,1980-03-16
 95721 (2003 CT7),2.37,0.1587,11.66,16.06,3.584,0.065,MBA,1992-04-07
  7964 (1995 DD2),2.76,0.0878,10.25,12.76,7.98,0.304,MBA,1977-03-15
       (2010 CB205),2.792,0.1941,17.61,17.82,1.902,0.071,MBA,2004-09-11
113979 (2002 UA22),3.117,0.0395,12.41,14.92,5.849,0.075,MBA,2001-08-11
 25983 (2001 FR57),2.675,0.0684,22.4,13.35,5.976,0.285,MBA,1989-09-24
 26757 Bastei (2001 KU17),2.584,0.2656,13.01,14.51,6.106,0.072,MBA,1955-03-24
188414 (2004 EH103),2.328,0.121,5.92,17.47,2.353,0.024,MBA,1993-02-16
119166 (2001 QJ39),2.308,0.173,1.99,17.28,2.473,0.038,MBA,1995-12-25
 61064 (2000 LW4),2.248,0.1865,5.73,15.32,3.802,0.122,MBA,1993-04-18
393784 (2005 JR132),2.763,0.1537,9.69,17.38,2.412,0.044,MBA,2004-02-17
379289 (2009 VU30),2.614,0.1385,10.47,16.77,2.794,0.052,MBA,2002-02-04
 12769 Kandakurenai (1994 FF),2.259,0.1358,6.03,14.02,4.189,0.304,MBA,1994-03-14
       (2016 JS37),3.199,0.2357,17.12,17.07,2.053,0.08,MBA,2004-02-16
212559 (2006 SE66),2.921,0.0458,12.0,15.95,3.798,0.064,MBA,2001-09-20
       (2010 VX43),3.463,0.1197,8.81,16.01,3.019,0.064,OMB,2001-05-23
121807 (2000 AW187),3.187,0.2823,14.25,15.41,5.828,0.043,MBA,1995-02-02
130815 (2000 UD9),2.406,0.117,8.92,15.57,2.68,0.187,MBA,1995-05-27
122196 (2000 LE7),2.224,0.1263,6.22,16.74,1.495,0.181,MBA,2000-05-09
242498 (2004 XG25),2.668,0.1368,11.49,15.9,3.227,0.1,MBA,1999-10-12
299711 (2006 QS176),3.236,0.0697,32.5,14.96,3.404,0.242,OMB,1998-04-19
 83232 (2001 RD41),3.206,0.1778,15.76,14.9,5.704,0.05,OMB,1990-11-10
146589 (2001 TS138),2.68,0.0879,11.88,15.93,2.537,0.158,MBA,1997-09-30
314323 (2005 SP271),3.054,0.1325,3.65,16.42,3.275,0.055,MBA,2005-09-30
 28530 Shiyimeng (2000 DR71),2.588,0.146,0.28,15.84,4.351,0.059,MBA,1993-09-14
248436 (2005 TN23),3.102,0.1303,28.41,15.25,6.079,0.048,MBA,2000-12-05
  2834 Christy Carol (1980 TB4),2.539,0.1612,6.43,12.07,11.417,0.237,MBA,1950-06-06
 87362 (2000 QS45),3.242,0.2665,1.88,14.36,9.01,0.066,OMB,2000-08-02
103596 (2000 CK12),2.669,0.1047,15.08,15.16,3.072,0.171,MBA,2000-01-07
257127 (2008 GZ116),3.132,0.0796,10.6,15.81,3.331,0.092,MBA,2001-02-21
248033 (2004 GA9),3.169,0.1886,25.87,15.7,5.235,0.041,MBA,2004-04-12
 86570 (2000 EH38),2.271,0.1353,5.59,15.79,1.706,0.46,MBA,1960-09-24
  8380 Tooting (1992 SW17),2.748,0.1548,14.03,12.38,10.019,0.24,MBA,1974-12-14
 20842 (2000 UG75),3.222,0.1183,22.12,13.65,9.494,0.065,OMB,1992-05-02
 69547 (1997 KU1),2.675,0.1224,14.51,15.74,2.423,0.173,MBA,1994-09-28
 31647 (1999 GY51),2.409,0.1425,7.48,15.29,2.712,0.263,MBA,1996-06-18
       (2010 MQ40),3.173,0.1166,12.91,17.14,2.381,0.086,MBA,2004-02-16
 83410 (2001 SN37),2.756,0.1054,9.23,14.58,3.914,0.167,MBA,1999-01-15
366670 (2003 US4),3.162,0.1417,26.51,14.86,5.958,0.086,MBA,1998-12-15
172160 (2002 NF32),2.65,0.1939,12.98,15.64,2.188,0.28,MBA,1998-10-12
 67449 (2000 QQ166),2.407,0.0775,8.63,15.48,2.648,0.23,MBA,1999-05-12
278620 (2008 QM20),3.134,0.2171,9.44,16.18,3.866,0.039,MBA,1997-10-09
 36670 (2000 QM217),3.089,0.1391,9.62,13.74,4.686,0.385,MBA,1998-05-22
112639 (2002 PT81),2.453,0.1966,2.49,16.21,1.529,0.362,MBA,2000-02-02
 42298 (2001 UP123),2.298,0.1907,24.48,14.78,2.639,0.454,MBA,1987-08-24
510074 (2010 JQ111),2.667,0.2358,8.92,17.63,1.374,0.103,MBA,2010-02-07
330625 (2008 EJ39),2.809,0.0797,5.44,16.55,4.027,0.075,MBA,2003-01-28
       (2010 OK118),3.036,0.1542,10.18,16.76,3.111,0.115,MBA,2003-04-24
 98301 (2000 SS237),2.269,0.1879,6.33,15.74,3.267,0.138,MBA,1983-11-08
 67240 (2000 EF39),3.088,0.1272,1.62,14.79,6.131,0.074,MBA,1994-01-07
 87753 (2000 SS75),2.697,0.111,7.26,15.51,2.582,0.242,MBA,1992-12-26
 62197 (2000 SQ51),3.024,0.1339,11.16,14.21,5.169,0.105,MBA,1994-06-07
 83274 (2001 RJ81),2.694,0.1826,2.16,16.03,2.01,0.174,MBA,1992-09-22
248679 (2006 KJ9),3.163,0.3425,25.94,14.5,7.729,0.051,MBA,2002-09-06
 78356 (2002 PX102),2.97,0.0697,12.52,15.02,6.255,0.054,MBA,1999-01-13
 45620 (2000 DY80),2.993,0.0635,12.35,14.44,4.65,0.205,MBA,1998-11-13
195591 (2002 JU129),2.805,0.113,7.62,15.37,4.896,0.081,MBA,2001-01-17
 46248 (2001 HM22),3.097,0.0922,16.81,13.63,12.633,0.053,MBA,1998-12-19
321713 (2010 GM133),3.121,0.1464,6.53,15.85,5.1,0.043,MBA,2003-01-29
135488 (2001 XT5),3.169,0.23,15.26,14.92,6.984,0.052,MBA,2001-09-21
 24356 (2000 AO114),2.594,0.1925,13.11,13.93,4.961,0.146,MBA,1995-12-20
       (2010 LV95),3.052,0.0725,7.67,17.09,2.546,0.036,MBA,2004-07-16
 35152 (1993 FG51),3.061,0.1824,4.86,14.27,7.439,0.088,MBA,1993-03-19
483085 (2015 MJ49),3.147,0.2092,11.5,16.32,4.814,0.1,MBA,2005-12-04
114334 (2002 XW65),2.592,0.1626,22.19,14.06,4.498,0.289,MBA,1999-01-13
       (2016 GH11),3.091,0.1819,13.66,17.29,2.546,0.068,MBA,1994-03-16
191327 (2003 MO12),2.773,0.1235,11.54,15.5,5.607,0.051,MBA,1999-10-12
  1556 Wingolfia (1942 AA),3.426,0.1064,15.72,10.46,28.65,0.1297,OMB,1942-01-14
451264 (2010 NK34),2.771,0.2226,10.61,17.18,1.56,0.115,MBA,2005-07-05
113067 (2002 RN60),2.836,0.0845,3.08,14.68,3.668,0.25,MBA,1991-05-14
412556 (2014 NC44),3.21,0.1222,17.92,15.54,5.98,0.065,OMB,2004-12-20
130427 (2000 PU21),2.206,0.2121,6.42,16.51,1.574,0.259,MBA,1993-03-26
254367 (2004 TO100),3.395,0.1476,20.08,15.0,5.322,0.068,OMB,1997-06-27
165896 (2001 SZ223),3.166,0.076,9.36,15.38,4.953,0.079,MBA,1993-04-21
237917 (2002 PO120),3.091,0.1448,9.47,15.77,7.075,0.029,MBA,1994-01-05
  4104 Alu (1989 ED),2.544,0.1072,15.7,12.51,8.595,0.239,MBA,1953-05-07
 61673 (2000 QN121),2.607,0.1011,2.74,15.1,2.601,0.344,MBA,1998-03-03
       (2009 DA58),3.101,0.1509,11.12,16.03,3.76,0.041,MBA,2003-01-28
243731 (2000 KH10),2.778,0.2981,7.88,15.78,3.503,0.095,MBA,2000-05-07
 95503 (2002 EE43),3.202,0.156,4.71,14.6,7.135,0.066,OMB,1997-05-31
529487 (2010 BX5),2.544,0.1321,26.17,16.61,3.018,0.031,MBA,2010-01-13
282843 (2006 UX186),3.236,0.1952,24.62,15.35,5.141,0.056,OMB,1999-05-16
 44257 (1998 QQ47),2.547,0.0848,22.5,14.12,4.645,0.271,MBA,1998-08-03
232843 (2004 TK76),2.768,0.1001,6.35,16.5,3.563,0.042,MBA,2002-03-17
 64514 (2001 VT88),2.565,0.1248,13.77,15.33,2.493,0.259,MBA,1995-04-24
  2292 Seili (1942 RM),2.619,0.2384,14.52,11.88,11.335,0.242,MBA,1942-09-07
363572 (2004 BR6),3.107,0.258,21.01,15.99,4.607,0.053,MBA,2002-09-09
173499 (2000 SU309),3.096,0.1209,20.06,14.42,8.007,0.063,MBA,2000-09-08
 59847 (1999 RT71),3.124,0.149,2.72,14.81,6.687,0.063,MBA,1998-07-01
226563 (2003 WT68),3.237,0.0502,19.44,14.74,6.604,0.064,OMB,1998-01-17
 83500 (2001 SA118),2.727,0.0336,6.02,15.14,4.195,0.1,MBA,1997-10-29
204891 (2007 TY323),3.163,0.0744,8.15,15.57,4.451,0.074,MBA,2001-09-25
407311 (2010 NC28),2.626,0.2513,12.32,16.54,2.805,0.056,MBA,2006-11-15
  1849 Kresak (1942 AB),3.053,0.0185,10.76,11.59,21.776,0.114,MBA,1942-01-14
148100 (1999 NM10),3.009,0.2395,7.75,15.41,4.691,0.073,MBA,1999-07-13
  3652 Soros (1981 TC3),2.366,0.1925,2.27,13.56,12.647,0.044,MBA,1977-08-07
365429 (2010 LF32),3.072,0.164,10.45,15.66,4.547,0.071,MBA,2003-03-07
117239 (2004 SM18),3.201,0.1109,3.89,14.94,6.04,0.048,OMB,1993-12-17
 52718 (1998 FL126),3.117,0.174,18.36,14.28,6.171,0.061,MBA,1991-01-12
 35629 (1998 KK21),2.66,0.1533,12.03,13.56,6.219,0.228,MBA,1996-12-12
177936 (2005 UD10),3.097,0.1644,7.51,15.17,4.832,0.076,MBA,2000-12-16
 76487 (2000 FU73),2.551,0.0204,9.86,15.03,3.06,0.273,MBA,1998-11-11
  1169 Alwine (1930 QH),2.319,0.1544,4.05,12.83,8.1,0.17,MBA,1930-08-30
 97971 (2000 QR150),2.251,0.2373,4.75,15.47,2.312,0.381,MBA,1999-03-22
 37422 (2001 XF241),2.216,0.1866,5.89,15.46,2.653,0.398,MBA,1977-08-19
239257 (2006 YN1),3.208,0.1162,11.62,15.34,6.151,0.043,OMB,2000-11-21
  8003 Kelvin (1987 RJ),2.223,0.1202,2.84,13.87,4.878,0.26,MBA,1956-03-10
       (2010 NH115),3.186,0.1235,19.18,17.23,3.243,0.029,MBA,2005-12-21
  5074 Goetzoertel (1949 QQ1),2.993,0.1014,8.55,12.1,13.221,0.211,MBA,1949-08-24
477497 (2010 CO65),2.676,0.117,14.75,16.9,2.042,0.081,MBA,2003-09-19
 86053 (1999 RY4),3.16,0.1414,26.44,13.67,11.047,0.069,MBA,1999-09-03
185448 Nomentum (2006 YK13),3.088,0.0664,11.65,15.17,3.887,0.117,MBA,1999-10-16
 24117 (1999 VQ26),2.392,0.1998,2.25,15.3,2.109,0.362,MBA,1987-05-30
238382 (2004 CZ108),3.107,0.1932,26.85,15.09,5.567,0.058,MBA,1999-04-10
145573 (2006 OA13),2.409,0.2552,6.6,16.35,1.239,0.418,MBA,1994-03-04
 44407 (1998 SO132),2.801,0.1553,7.0,14.96,5.501,0.095,MBA,1989-11-30
146269 (2001 DY36),3.214,0.044,22.1,14.66,7.428,0.061,OMB,2001-02-16
 10266 Vladishukhov (1978 SA7),2.795,0.2339,7.28,14.1,10.055,0.063,MBA,1964-10-30
110832 (2001 UA58),5.195,0.027,1.43,12.93,14.474,0.07,TJN,1996-03-26
199478 (2006 DE73),2.35,0.1437,3.38,16.79,3.18,0.048,MBA,2001-12-18
118948 (2000 WN83),3.123,0.0877,17.14,14.84,7.22,0.049,MBA,2000-11-05
 17407 Teige (1987 TG),2.662,0.2717,9.15,13.99,8.994,0.065,MBA,1987-09-18
159504 (2000 WO67),2.433,0.6172,9.69,16.97,2.324,0.052,APO,2000-11-27
   344 Desiderata (A892 WA),2.596,0.3138,18.35,8.31,124.181,0.067,MBA,1892-11-20
 28738 Carolinolan (2000 GQ135),2.412,0.0965,6.13,15.14,2.997,0.236,MBA,1990-10-20
265106 (2003 SE321),3.17,0.0558,8.67,15.6,4.086,0.073,MBA,2000-03-04
235263 (2003 SN428),2.673,0.0702,1.47,16.4,3.363,0.043,MBA,1999-11-15
453751 (2011 CJ68),3.027,0.0809,14.35,15.99,4.302,0.05,MBA,2010-02-08
279385 (2010 CG61),2.985,0.227,13.86,15.42,5.111,0.068,MBA,1998-11-13
 24516 (2001 BB66),2.688,0.1421,6.65,14.19,6.287,0.189,MBA,1992-03-05
269490 (2009 UH23),2.655,0.1924,1.82,17.01,1.668,0.101,MBA,2000-09-03
359462 (2010 NA55),2.633,0.2617,31.11,15.43,2.224,0.297,MBA,2005-05-05
137050 (1998 VL15),2.579,0.2641,11.86,15.73,2.991,0.094,MBA,1998-11-10
283895 (2004 CD20),2.962,0.0102,12.67,16.34,3.706,0.029,MBA,2000-05-01
 79649 (1998 SS15),2.346,0.0977,0.91,16.44,3.637,0.044,MBA,1997-04-11
400876 (2010 OA107),3.109,0.2664,22.9,15.54,2.511,0.233,MBA,2004-08-16
285698 (2000 SG200),3.118,0.3095,18.84,15.96,4.159,0.054,MBA,2000-09-24
241999 (2002 OT7),2.668,0.1655,14.36,16.79,3.156,0.037,MBA,2002-07-19
 45245 (1999 XN242),2.811,0.0276,16.19,14.18,4.821,0.209,MBA,1998-09-19
       (2010 JB137),2.669,0.0951,6.93,17.8,2.077,0.086,MBA,2010-05-14
161397 (2003 UU140),2.781,0.0585,9.16,15.7,2.488,0.197,MBA,2001-03-29
  3091 van den Heuvel (6081 P-L),2.349,0.1678,2.02,13.98,4.315,0.332,MBA,1954-12-22
129140 (2005 AO50),5.183,0.0167,9.37,12.75,16.132,0.068,TJN,2000-09-24
 88238 (2001 CN19),3.202,0.1589,14.7,13.87,8.243,0.079,OMB,1998-07-31
246485 (2007 XD18),3.129,0.1636,10.22,15.82,6.472,0.027,MBA,2001-10-23
464070 (2014 WT270),3.144,0.2004,26.74,16.16,3.911,0.029,MBA,2010-04-28
 99219 (2001 HY53),3.136,0.0592,22.75,13.88,9.191,0.091,MBA,2000-01-02
       (2010 FY100),2.735,0.1937,20.43,17.69,1.881,0.05,MBA,2010-01-19
260641 (2005 GQ130),2.553,0.2083,15.53,16.11,3.36,0.075,MBA,1993-06-26
247377 (2001 XQ221),3.178,0.0263,11.74,15.33,4.475,0.088,MBA,2000-09-01
236519 (2006 GV52),2.627,0.2297,28.34,15.94,1.867,0.291,MBA,1997-02-02
333502 (2005 EW67),3.153,0.1669,10.47,15.69,5.11,0.047,MBA,1996-09-12
268704 (2006 HZ19),3.022,0.0751,2.92,16.32,4.679,0.029,MBA,1997-09-06
  6338 Isaosato (1992 UO4),3.168,0.0886,15.32,11.94,23.065,0.069,MBA,1987-12-15
  3049 Kuzbass (1968 FH),3.119,0.1365,2.5,12.23,19.696,0.104,MBA,1952-06-19
 13498 Al Chwarizmi (1986 PX),2.115,0.1787,2.76,15.23,3.126,0.165,MBA,1980-10-14
132066 (2002 CE147),2.589,0.1303,28.41,15.7,4.39,0.084,MBA,1998-04-03
105385 (2000 QZ137),2.813,0.2122,8.02,15.71,4.911,0.038,MBA,1995-07-26
       (2016 JW28),2.082,0.5792,0.92,25.5,0.031,0.123,APO,2016-05-11
 29593 (1998 FA129),3.119,0.0883,10.03,13.47,12.97,0.06,MBA,1992-01-29
 40546 (1999 RY109),3.151,0.0955,9.6,14.45,8.63,0.045,MBA,1993-09-18
123270 (2000 UB85),2.6,0.1642,2.2,16.17,3.066,0.075,MBA,1994-04-03
453612 (2010 OR88),2.971,0.1029,14.12,16.82,3.25,0.038,MBA,2005-10-31
 31130 (1997 SS10),2.309,0.0789,3.6,14.82,3.257,0.138,MBA,1990-09-25
457406 (2008 TD124),3.097,0.099,5.26,16.58,4.31,0.018,MBA,2003-12-19
359426 Lacks (2010 LA71),3.163,0.0996,8.03,16.34,2.753,0.07,MBA,1999-10-14
       (2010 AJ42),3.043,0.1933,4.31,17.1,2.152,0.055,MBA,2000-03-27
 85326 (1995 OR6),3.084,0.0822,15.04,14.62,7.24,0.078,MBA,1995-07-24
167173 (2003 SN258),2.594,0.163,7.39,16.05,2.158,0.218,MBA,2002-06-01
 70734 (1999 VS8),2.579,0.2128,13.58,15.42,3.374,0.118,MBA,1992-01-10
423175 (2004 GZ8),3.185,0.2083,14.26,16.41,3.159,0.059,MBA,1993-05-19
 39475 (1978 VE8),3.015,0.0696,3.18,14.41,3.746,0.288,MBA,1978-11-05
 81461 (2000 GV134),2.696,0.1774,7.3,15.12,3.571,0.152,MBA,1997-11-06
126676 (2002 CD218),3.182,0.1281,1.74,15.2,5.344,0.062,MBA,1999-11-10
287653 (2003 KZ29),2.408,0.2439,4.48,17.07,2.628,0.031,MBA,2000-09-25
205058 (1999 JD69),2.395,0.1803,6.73,16.59,1.347,0.294,MBA,1999-05-09
247691 (2003 BU27),3.24,0.1835,16.4,14.96,6.227,0.06,OMB,1998-05-26
 14281 (2000 CR92),2.851,0.0873,2.88,13.58,6.621,0.29,MBA,1983-10-30
 55738 (1988 VG3),2.279,0.1324,11.89,14.73,4.819,0.23,MBA,1988-11-04
 49574 (1999 CO119),3.134,0.1577,18.39,13.29,5.857,0.356,MBA,1991-10-17
418542 (2008 SY102),3.172,0.1541,20.77,15.83,4.502,0.046,MBA,2008-09-21
149093 (2002 CK145),2.999,0.3377,4.07,15.12,6.215,0.06,MBA,2002-02-06
 34270 (2000 QW131),2.619,0.0686,15.27,12.86,6.912,0.256,MBA,1979-11-16
361637 (2007 TP217),2.267,0.1756,2.7,17.75,1.296,0.115,MBA,2007-10-07
  4350 Shibecha (1989 UG1),2.629,0.1895,13.69,12.47,11.489,0.176,MBA,1972-10-05
  1593 Fagnes (1951 LB),2.225,0.2809,9.98,13.14,6.095,0.307,MCA,1951-06-01
175547 (2006 SS280),2.712,0.2283,4.9,16.02,3.598,0.065,MBA,1998-12-16
 46913 (1998 RD74),2.62,0.1411,4.17,15.44,5.826,0.046,MBA,1998-09-14
177638 (2004 LB22),3.135,0.1028,10.57,15.14,5.362,0.051,MBA,1997-01-09
 92378 (2000 HA60),2.128,0.1905,3.48,16.57,1.214,0.301,MBA,1998-12-17
 20487 (1999 NJ62),2.734,0.2095,8.38,14.48,4.55,0.195,MBA,1995-11-16
 67847 (2000 WX6),2.266,0.1523,6.15,16.27,1.505,0.236,MBA,1998-03-20
 90602 (4757 P-L),3.186,0.1024,6.18,15.2,4.955,0.079,MBA,1960-09-24
133178 (2003 QK48),2.296,0.2203,4.38,16.43,1.441,0.339,MBA,2000-12-30
110334 (2001 SM291),3.044,0.0768,15.89,14.56,3.766,0.237,MBA,2001-08-20
248121 (2004 RR198),3.16,0.0802,8.52,15.52,5.827,0.036,MBA,1998-08-30
130956 (2000 WE95),2.702,0.1793,4.5,15.77,4.155,0.059,MBA,1951-11-28
139583 (2001 QK105),2.814,0.0986,25.48,15.36,2.534,0.302,MBA,2001-08-23
  4022 Nonna (1981 TL4),2.358,0.1268,5.09,13.25,3.67,0.907,MBA,1952-10-24
 61103 (2000 LP30),2.675,0.2003,17.75,14.62,6.434,0.068,MBA,1995-02-01
 64220 (2001 TF107),2.537,0.2517,11.56,14.55,8.76,0.058,MBA,1952-08-19
 36648 (2000 QM195),3.033,0.1063,6.69,14.66,4.248,0.081,MBA,1990-10-24
 93654 (2000 UX98),2.759,0.1592,11.65,14.44,5.019,0.193,MBA,1995-10-25
 60690 (2000 GD38),2.258,0.1139,7.01,15.84,1.501,0.342,MBA,1990-05-31
 53323 (1999 JV16),2.984,0.0502,10.5,13.87,6.342,0.159,MBA,1999-05-07
 26630 (2000 GH133),2.574,0.1125,12.67,13.69,5.533,0.399,MBA,1984-08-01
135351 (2001 TU68),2.87,0.0693,10.34,15.11,3.182,0.23,MBA,1994-02-15
 79789 (1998 VL1),2.599,0.2908,27.18,14.15,4.909,0.184,MBA,1998-08-29
245444 (2005 JZ176),3.003,0.1167,7.55,16.5,2.992,0.072,MBA,2001-09-19
 90115 (2002 XJ54),2.233,0.0407,4.75,16.32,1.641,0.238,MBA,2000-01-04
 11515 Oshijyo (1991 CR1),3.151,0.0824,7.87,12.64,9.672,0.249,MBA,1984-12-20
233044 (2005 GF33),3.17,0.2337,25.92,14.74,6.43,0.068,MBA,1999-04-12
184662 (2005 SE52),3.072,0.0296,12.4,15.27,3.745,0.105,MBA,2000-11-30
 67932 (2000 WX125),3.154,0.1422,15.67,13.68,9.739,0.089,MBA,1999-09-06
260955 (2005 SL33),3.156,0.2221,24.58,16.21,3.643,0.048,MBA,1999-11-14
308503 (2005 TN175),3.094,0.1004,8.44,16.01,4.015,0.052,MBA,2000-12-05
246088 (2007 AW8),3.089,0.0198,11.56,15.81,4.251,0.056,MBA,2003-04-11
482120 (2010 OG24),3.075,0.3706,16.11,16.87,1.684,0.108,MBA,2010-07-18
273922 (2007 HO88),2.687,0.0498,6.4,16.56,2.661,0.069,MBA,1993-01-29
469747 (2005 PE4),3.153,0.3488,26.12,15.5,5.362,0.039,MBA,2005-07-05
265109 (2003 SF429),3.168,0.068,9.0,15.56,5.126,0.056,MBA,2000-03-03
 44546 (1999 BR),3.004,0.1312,9.82,13.99,6.795,0.152,MBA,1997-10-29
358292 (2006 UW94),2.705,0.1076,5.9,16.78,2.508,0.071,MBA,2006-10-03
  2631 Zhejiang (1980 TY5),2.797,0.1608,9.59,12.13,10.765,0.242,MBA,1955-04-16
104954 (2000 JJ47),3.107,0.188,19.1,14.07,9.581,0.064,MBA,1999-01-23
 41852 (2000 WN87),3.103,0.2337,17.09,13.81,5.426,0.262,MBA,1992-05-04
116143 (2003 WO152),2.611,0.0958,8.33,15.62,2.48,0.181,MBA,1998-08-27
261891 (2006 HJ44),2.315,0.1998,6.82,17.52,1.374,0.112,MBA,2003-09-22
 14623 Kamoun (1998 UE24),2.334,0.0944,7.67,15.38,5.543,0.078,MBA,1991-11-03
       (2010 NY43),3.978,0.366,6.93,17.3,2.031,0.036,OMB,2010-07-09
 11990 (1995 WM6),2.675,0.1773,3.33,13.86,10.331,0.064,MBA,1981-09-28
458156 (2010 JO124),3.131,0.1324,13.47,15.73,4.669,0.061,MBA,2003-12-22
537057 (2015 GT13),2.742,0.3398,16.7,16.97,3.643,0.064,MBA,2006-01-31
229300 (2005 EL41),3.143,0.0888,16.35,15.32,6.102,0.052,MBA,2000-04-28
246778 (2009 DK16),3.522,0.0833,18.37,15.03,5.696,0.038,OMB,1996-03-21
242851 (2006 FJ12),3.964,0.1677,3.28,15.3,7.178,0.026,OMB,2001-10-25
472162 (2014 DQ23),3.171,0.1135,6.89,15.9,4.173,0.044,MBA,2001-12-20
 27939 (1997 LL2),2.304,0.1538,5.97,15.16,2.983,0.239,MBA,1996-01-15
 89326 (2001 VP45),2.364,0.1399,6.84,15.49,4.64,0.043,MBA,1990-12-18
523861 (1995 UZ52),3.19,0.0628,15.75,15.82,4.535,0.113,MBA,1995-10-23
       (2010 HW1),3.007,0.0726,4.03,17.26,2.879,0.071,MBA,2010-04-16
165065 (2000 ES169),2.694,0.2401,12.14,15.41,4.798,0.077,MBA,2000-02-03
 18406 (1993 FT14),2.591,0.2507,5.56,14.69,3.02,0.369,MBA,1991-10-14
262564 (2006 VG30),3.171,0.1055,7.08,15.99,5.105,0.039,MBA,2002-01-08
  4121 Carlin (1986 JH),2.374,0.2555,23.08,12.95,6.892,0.408,MBA,1950-10-13
 46718 (1997 NK6),2.756,0.0968,7.43,14.72,7.076,0.052,MBA,1993-09-18
 90321 (2003 FZ67),2.639,0.1491,15.46,14.95,2.619,0.34,MBA,1999-04-11
147916 (2006 UX200),3.383,0.0433,11.3,14.73,7.554,0.049,OMB,1999-10-10
229883 (2009 UV72),2.693,0.1878,12.07,15.87,4.091,0.061,MBA,1999-05-13
347025 (2010 EP40),2.402,0.1742,4.15,17.83,1.634,0.042,MBA,2001-11-15
133230 (2003 QW100),2.342,0.1533,0.88,16.83,2.902,0.048,MBA,2002-02-08
309848 (2009 DT3),2.358,0.084,10.18,16.72,2.524,0.076,MBA,2002-03-20
278485 (2007 UV95),3.117,0.0528,4.12,16.07,4.586,0.037,MBA,1996-10-16
 16385 (1981 EQ32),2.691,0.3021,7.42,14.36,5.139,0.14,MBA,1969-09-10
173055 (2006 RT79),3.247,0.0764,4.73,15.6,3.549,0.074,OMB,2000-10-05
       (2010 HC100),2.873,0.1428,17.51,17.07,3.411,0.096,MBA,1999-03-21
 30407 Pantano (2000 KK55),2.31,0.023,4.4,15.27,2.291,0.307,MBA,1994-10-29
 87114 (2000 LS27),2.607,0.2976,11.54,15.03,6.176,0.061,MBA,1995-04-23
372740 (2010 AH49),2.993,0.0946,10.85,15.92,3.456,0.078,MBA,2002-07-17
334635 (2002 VZ117),3.112,0.3642,29.23,15.63,3.792,0.078,MBA,2002-11-13
       (2014 NG63),2.365,0.3445,14.24,17.95,1.243,0.072,MCA,2003-09-21
140554 (2001 TK203),3.108,0.0839,17.93,14.74,6.867,0.059,MBA,2001-09-17
405196 (2003 CQ25),2.632,0.3156,20.67,16.43,2.305,0.132,MBA,2003-02-06
206084 (2002 RT81),2.644,0.2953,11.18,15.72,2.338,0.204,MBA,2001-03-19
199483 (2006 DY76),3.038,0.157,2.35,15.36,6.06,0.04,MBA,1998-12-19
166766 (2002 UZ48),3.016,0.1867,12.61,15.38,5.521,0.044,MBA,2002-09-16
  6546 Kaye (1987 DY4),3.223,0.1035,14.41,11.97,21.624,0.085,OMB,1978-09-08
144736 (2004 GG42),2.763,0.0282,6.44,15.88,4.615,0.052,MBA,2001-09-12
105826 (2000 SD145),2.99,0.2085,2.61,15.02,5.003,0.093,MBA,2000-09-24
315908 (2008 RX33),3.966,0.0468,7.54,14.89,7.111,0.046,OMB,2005-03-14
 20578 (1999 RH149),3.015,0.0258,10.22,14.16,5.145,0.202,MBA,1989-10-07
214987 (2008 AO117),3.207,0.142,2.52,16.16,3.7,0.056,OMB,2003-03-27
 15901 (1997 RY8),3.035,0.1007,10.54,13.48,6.96,0.11,MBA,1985-07-20
282048 (1999 JY110),2.483,0.1795,11.41,16.11,2.892,0.077,MBA,1999-05-10
